sentiments,tweets
IR,(tears) :'-( Today is the last day with my kids.They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86
IR,(unsure) (annoyed) http://plurk.com/p/1230lz
IR,(unsure) (hassle) (: (music) http://plurk.com/p/yq08l
IR,(via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc
R,"《新感覚！》美麗スチル付き マルチED型無料育成ゲーム
【うちのぷにぷにり～ぱ～】 #うちぷに 
ぼくと一緒にいてくれる・・・？
https://t.co/o3u6Lzgt5a https://t.co/NFCqsLcUNu"
R,"【★iTunes新作リリース★】
『COMPLETE LOVE SONG』Selected by DJ YOPPY
ダウンロード↓
https://t.co/ZJL0SYBkpO
#LOVE #SONG #iTunes
https://t.co/uznN6G7PpB"
R,"【チギリバコ】「[復刻] 恐怖ノ隠れんぼ」イベント開催中♪
あなカレ https://t.co/PfAqwlipIV 6815"
R,"【チギリバコ】4月復刻イべ★虚の世界で出会った謎の男とは…
あなカレ https://t.co/BcYVyLhZbw 2254"
R,"【バビロン】
世界を語る ハリボテギャングスタに連番並んだ 
ギャンブル賭博真っ平らなこの町で育って 当たり前を捨てた
【トーマ:singミク】
https://t.co/Al2sDH8axj"
R,【閲覧注意】結末が気になって眠れないンゴｗｗｗ#ホラー #アプリ #怪談 #心霊 #暇つぶし #ゲーム #幽霊 https://t.co/vWz5UiEfSX https://t.co/NloVAmF3Hl
IR,@ canaveral national seashore
IR,@ canaveral national seashore
R,@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle
IR,@ progressing in the production department with &quot
IR,@ progressing in the production department with &quot
IR,@ taylorrhicks enjoy chicagob new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone.
IR,@ taylorrhicks enjoy chicagob new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone.
IR,@ the train crash in DC .
IR,@ the train crash in DC .
R,@__diariat Only on Apple Music.
R,@_ashleybjones Glad to know you. Hope you keep listening. Cheers. https://t.co/8PszlyhFUo
IR,@3sixty5days makes me smile.
IR,@3sixty5days makes me smile.
R,@aaronpaul_8 @YoBitch you have to do an android version. or I'll change to @apple @iPhone
R,@ABillaut @VaynerMedia @Apple Thanks so much!
IR,"@adamisacson My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Grac http://tr.im/khKW"
IR,"@adamisacson My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Grac http://tr.im/khKW"
IR,"@adbert: &quot;#Video [Woody Woodpecker – The Barber of Seville] I am great, @klitoria, just wishing to be a ch. ♫ http://blip.fm/~7g6r0"
IR,"@adbert: &quot;#Video [Woody Woodpecker – The Barber of Seville] I am great, @klitoria, just wishing to be a ch. ♫ http://blip.fm/~7g6r0"
R,@afrobugeisha @Apple you lol
R,@AIAWTheatreCo Glad to know you. Hope you keep listening. Cheers. https://t.co/8PszlyzhiY
IR,@alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.
IR,@alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.
IR,@alvinkschneider happened to angels and demons and lions and tigers and bears!?
IR,@alvinkschneider what happened to angels and demons and lions and tigers and bears!?
IR,@AmericanWomannn Well that sure minimizes the impact.LOL
IR,@AmericanWomannn Well that sure minimizes the impact.LOL
IR,"@ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine, http://tr.im/oERy"
IR,"@ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine, http://tr.im/oERy"
R,@AngelaYake @googledrive @HuluPlus @Apple @google @YouTube Love it! Some great dance moves too :)
R,@anko_apple_9 コスプレしますよー💓このキャラしてます💓 https://t.co/vnxhuktJSZ
R,"@Anna_watson_ I've got the same mate 😔 cough syrup, ibuprofen and warm apple juice is all that's getting me through 😫"
R,"@Apple [#Apple] #sales soar after launch of #iPhone6. (#Wednesday, 3 #December) http://t.co/QrV3LxeVgm"
R,@apple @Disney can't I buy any version let alone the version I actually like of Star Wars on @iTunesMovies #stupid #lame #StarWars
R,@apple @iBooks is awesome. Thank You!
R,@apple @iphone4 oh it's not fair and i think you're really mean
R,@apple #apple #iphone @iphone #iphone4s #iphone4problems SOMEONE FUCKING HELP ME SOMEONE WHO WORKS AT APPLE FUCKING HELP ME DO UR JOB CUNTS
R,"@apple #apple tech support is so nice. Free stuff!! Sucks about the ringtone issue, though."
R,@Apple #fail - Since updating my #ipad #OS there is a #bug that does not delete videos and free up memory forcing. http://t.co/AjdDTF19Nn
R,@apple #greatservice thanks for helping me out. #sylvester
R,@Apple #ipad #innovation let us maintain we enjoyed we were young http://t.co/Tpt3k2GBAS via @HuffPostTech http://t.co/Tpt3k2GBAS
R,@apple and @facebook I speak for all of humanity
R,"@Apple BTW, I LOVE all of your products. They rock! Your power cords are junk. You seriously need to fix this!"
R,"@Apple BTW, I LOVE all of your products. They rock! Your power cords are junk. You seriously need to fix this!"
R,"@Apple BTW, I LOVE all of your products. They rock! Your power cords are junk. You seriously need to fix this!"
R,@Apple conclusion : Best client service ever
R,@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync
R,@apple do I need to do if my mac has been really slow lately ?
R,@apple doesn't your people explain precautions buying an expensive laptop
R,@apple Excellent customer service thanks Ian #applestorecoventgarden
R,@Apple Give me a job so I never have to suffer through Windows OS for personal nor work use
R,"@apple goes red for aids awareness #ProductRED #fuckaids 
http://t.co/NVJbsh3duW
for every like i get this month a will donate a quarter"
R,@apple happy new month
R,@apple has caused me so much pain today
IR,@Apple honey crisp apple for the win
R,@Apple I figured out #memory issue on my #ipad. It nt a #bug but a new hidden folder that stores our images. http://t.co/vEKIE3qlDp
R,@apple I FUCKING HATE YOU http://t.co/xRxXK0rdot
R,@Apple I h8 everything about u
R,@Apple I had a power cord problem- under warranty. You said it would be fine. It isn't. And now you won't replace it? http://t.co/fW3BoW53dj
R,@Apple I hate they put out a new iPhone because then my iPhone feels old
R,@apple I think Steve Jobs would have been proud. #ICantBreathe http://t.co/PKKmKyLSPt
R,@APPLE IF YOU DIDNT MAKE SUCH GOOD PRODUCTS I WOULD COTT YOU FOREVER
IR,"@Apple John Cantlie has been a prisoner of ISIS for 739 days, s you have not abandoned him. Sign https://t.co/WTn4fuiJ0P"
R,@Apple just changed the game #AppleLive
R,@Apple Love #ApplePay and its security features. Pls. make it work with iTunes 2 eliminate need for my cc info. I'll pay ahead. #PayItSafe
R,@Apple made it clear today that I as a customer are not worth a measly $79!! An employee gave mis info and they will not stand behind it
R,@apple my laptop is burning my legs do u have to say about this
R,@apple not really liking iOS7s calendar. Don't like the view you click on a day with an event.
R,@Apple of course that's not their mother fucking @
R,@apple please can I have new phone for Christmas? #spreadsomejoy
R,@Apple runs the worldlook around you
R,"@Apple seems to be nailing it with @applepay, building on their success &amp; brand http://t.co/za9T4z6xRN #AppleID #NoMorePaywords"
R,"@Apple seems to be nailing it with @applepay, building on their success &amp; brand https://t.co/swWzgA5o11 #AppleID #NoMorePaywords"
R,@Apple store #nyc I am honored to be here. #travel http://t.co/JnbCd79z1b
R,@Apple stores will host #free #coding workshops for #HourOfCode on 12/11/14 http://t.co/339o5OVY6H Via @TechCrunch @codeorg #computerscience
R,@apple thank you http://t.co/wmSinAAuQf
R,@apple the iphone 4 ever created
R,@Apple This NORMAL use-- NO ABUSE! Wrapped it exactly as you instructed me to. This is a fire hazard. You should replace it. #defective
R,@Apple to host free workshops to take the mystery out of coding - CNET #technology #coding http://t.co/VisJpcqMYp
R,@Apple to Open New Research Site in Japan - WSJ #aapl http://t.co/uy5ssKxIaC
R,@apple U need to get ur fucking shit together and let me txt while on YouTube
R,@apple ur a disgrace
R,"@Apple Watch's high-priced fashion focus on the mark, survey says http://t.co/sujgrCk69t #SNRTG #BMRTG #BTRTG"
R,@Apple with now dual core technology http://t.co/sq1VoVV5tf
R,@Apple YH News Apple tumbles as much as 6 percent in unusual trading: By Chuck Mikolajczak NEW YORK (Reuters) . http://t.co/hNuWafq0sI
R,@Apple you guys should make pipes too!
R,@apple your chargers suck ass! They just love to break!
R,"@apple___0311 
ありがとうございます💕😁"
R,"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc"
R,"@Apple, I salut you! @kcdenton's photo http://t.co/nmwlvZVjHS"
R,@Apple's share of UK smartphone sales soared to 39.5% in the 3 months to October thanks to #iPhone6 launch
R,@AppleOfficialll @apple I can't say enough about awesome Apple has been. They've already processed a reorder for the phone that UPS lost
R,@APSVirginia special education staff working hard on behalf of our students with disabilities @Apple ed1426 http://t.co/1HhSr2Vyoh
R,@ATTCares I want to stay with @Apple me and @SamsungMobile don't get along
IR,@BadAdmiral_ @nanexllc Bob Pisini can explain this as excellent portfolio management vs #AAPL's flash crash
R,@baseballbridget @apple we couldn't even get a turkey for TDay so they just don't care. #appleemojissuck
IR,@Beansummer
R,@benh4ll @netflix @Apple @tim_cook Great news! hope your wifi gets sorted though!
R,@BestBuy @apple wishes do come true!http://t.co/yK9niORzif
R,@brwnskin_beauti cause fuck @apple
IR,@carlquintanilla @CNBC Where would we beif only #AAPL in the Dow. sarc
IR,@chantalireland @Apple Slab Pie sounds amazing. Do you have a link?
IR,@CharlottegC I just saw ur mum
IR,@CharlottegC I just saw ur mum
IR,@chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.
IR,@chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.
R,@Cleosbaby64 @Apple @stackizshort Thank You Good Coverage W/ NoFear
IR,@copicmarker&quot
IR,@copicmarker&quot
IR,@cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt
IR,@cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt
IR,@dandelionas is making fettucini and garlic bread!
IR,@dandelionas is making fettucini and garlic bread!
IR,@danjo_1 @Apple @HP @LGElectronics I've seen that one. Looks nice too.
IR,@danregal tell @pfont i said Happy BDay!!
IR,@danregal tell @pfont i said Happy BDay!!
IR,"@DirtyRose17 told you, you would sweep haha :-p"
IR,"@DirtyRose17 told you, you would sweep haha :-p"
IR,@dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2
IR,@dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2
IR,"@emilymariie didnt you come to school?? have you done the short stack thing by yourself, or do you still need me?"
IR,"@emilymariie why didnt you come to school?? have you done the short stack thing by yourself, or do you still need me?"
R,"@Forbes: While @Apple still dominates e-commerce, @Android devices are grabbing market share: http://t.co/Pto4CTvUTV'"
R,@FoxNews I hear this prison serves apple pie. And penis.
R,@fullcircleone ThanX! Big @Apple ThanX goes 2 @stackizshort &amp
IR,@georgediaz #Magic thinking less than 50 % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.
IR,@georgediaz #Magic thinking less than 50 % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.
IR,@ginaaa &lt
IR,@ginaaa &lt
IR,@Glamicole now who wud make this beautiful plc cry?
IR,@Glamicole now who wud make this beautiful plc cry?
R,"@Google, @Apple @Unilever are the world's most in-demand employers @LinkedIn"
R,@GordieStewart22 @Apple welcome to the club!
R,"@got7_______bam 

べむにーさん"
R,@green_apple_xx あ、そっちに今着きます
R,@GriffinNW @Apple @tacobell I love you @tacobell!
R,@HammerArcade This makes me feel so sad
IR,@HaterMagazine: @damienrandle it is now the outer fat kid.
IR,@HaterMagazine: @damienrandle it is now the outer fat kid.
IR,"@hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug. ♫ http://blip.fm/~7s7mn"
IR,"@hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug. ♫ http://blip.fm/~7s7mn"
IR,"@hellopnsdear se MORREA a mi Joseph, no no se vale."
IR,"@hellopnsdear se MORREA a mi Joseph, no no se vale."
IR,@hidingesther @linininiooh are my future rooooooooomies! NYC holleR
IR,@hidingesther @linininiooh are my future rooooooooomies! NYC holleR
IR,@Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO
IR,@Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO
IR,@iamyas awesome
IR,@iamyas awesome
IR,@iress_data #agl #sab.jse #aapl.nas #agl.lse #ire.asx #fbu.nzx #PBE.nzx
IR,@ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn
IR,@ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn
R,@jakeflem @Apple good we got a new shiny macs too so we will keep this handy!
R,@jakeflem @Apple Sorry that you're going through that hope you get this fix it a real pain for us too but Apple care cover it for free
R,@jakeflem @Apple Yeay! Glad it all worked out for you :)
R,"@jengolbeck @Apple Yep, the only jump I'd make from my 5 now is to 5S. At least good deals on 5S now with 6 out."
R,@JimCramer Says 'Machines' Caused @Apple's Big Drop $AAPL http://t.co/pfzq1N52hH
R,@Jon_Favreau movie 'chef' so original &amp
IR,@jonasbrothers is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!
IR,@jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!
IR,@JustinPulitzer Any comment on #aapl today?
IR,@JustinPulitzer Looking for $105-$109. #AAPL
R,@Kaizer_Osa apparently Jay and Kanye didn't want to be on album that going to be exclusively on Apple Music cos of Apple &amp
IR,@katiedontcry should get on aim and talk to me. i miss her.
IR,@katiedontcry should get on aim and talk to me. i miss her.
IR,@kcome ?????????????????????????????????? ????????????1000 Followers???????????? http://tr.im/mWKn
IR,@kcome ?????????????????????????????????? ????????????1000 Followers???????????? http://tr.im/mWKn
IR,"@khead I'll tell ya, grocery store. It better you blasted the oldies. Sugar Ray does not make me http://tr.im/jd0y"
IR,"@khead I'll tell ya, grocery store. It was better when you blasted the oldies. Sugar Ray does not make me http://tr.im/jd0y"
IR,@kibs33 Dizzy-doings on Wall Street tomorrow? #LOL #Scotus #MotusOperandi #Potus #Cotus #aapl '#BABA smell your shorts.'
IR,@kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic &amp
IR,@kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic &amp
IR,@Lakers!! I love you guyssss! Those rings Mmmyeahh! Bling blingg
IR,@Leloz isn't home neither is @sozi1 . @althani96 U BETTER HAVE IT!!!
IR,@Leloz isn't home neither is @sozi1 . @althani96 U BETTER HAVE IT!!!
IR,"@LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera, kay!?"
IR,"@LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera, kay!?"
R,@LittleWordBites @TravlandLeisure @Apple &gt
IR,@lolife4life where r u tonite im still awake!
IR,@lorinimus hates Bebot App
R,"@m_h_f_y @apple_7810 
ありがとー+ﾟ｡*(*´∀｀*)*｡ﾟ+
おかげさまで37歳！
また1年1年と仲良くして下され！"
R,@m0E_tv apple music
R,"@macmall is the @united of shopping. you have paid, but you may or not receive your goods (or flight). @apple far better at #custserv"
R,@Man_Gorilla @Pouyalilpou They're both on Apple Music that's I'm hearing em!
R,@marcbulandr I could not agree more. Between @Apple @Twitter and @IBMWatson only great things will happen. #AppleandIBM #IBMandTwitter
IR,"@masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G"
R,@Mathieu_Kl Aucune idee :D Apple Music à souvent des exclusivités
R,"@MauroCandela70, @TheDarkTumblr, @attackfollow_, @Rhodes_Wall thanks for following. Via @FindUnfollower https://t.co/qNuFHwoZ4e"
R,@maxscottslade @Apple yeah the trackpad is fine and working now! but I had to damage one of the screw holdings to get the battery out
R,"@mcmillanstu @D1PZ. But trying to get launch info ahead of time from telco marketing teams a nightmare - thanks @apple!
#EcomChat"
IR,@MelodyChase
IR,@mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC
R,"@MhDaDon @Apple def gotta have it, I don't even like watches"
IR,@michaelsarver so do you give him every inch of your love every night?
R,"@mikkarinne 検索より失礼します。
当方、スタキーのカヅキを持っているのですが
タイガと交換していただく事は可能でしょうか。
宜しくお願い致します。"
IR,@mimbles @WParenthetical
R,@Mr_Yemo Yeah but not on Apple Music which is annoying
IR,"@MsNovember It's a shame all the women in Mamma Mia are so horny, since all the men on this island are so http://tr.im/kmET"
IR,@Mzhoov @BionicBombshell @Apple Nope. Thats Danny Terrio. I want Jamal doing the percolator!
R,@Nero_apple 【bot厨 撲滅運動実施中】タグをつけたbotは非常に迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑迷惑29180955
R,@nosheenh2oo9 @Apple this is my most favorite tweet
R,@OneRepublic @Apple 'YOU CAN DO IT'
R,@OneRepublic @Apple #AppleAddict ! The s in Paris Amazing !!!! Thank you guys !!!! See you soon !
R,"@OneRepublic @Apple 40,000 feet keep flying :)"
R,"@OneRepublic @Apple 45,000 feet keeeppppp flyinggggg"
R,@OneRepublic @Apple awsome
R,@OneRepublic @Apple aww look tht u have a lot of work guys good luck!
R,@OneRepublic @Apple cool that you're working on new music. Can't wait to hear it. But you're working hard. You need rest. :)
R,@OneRepublic @Apple I really miss you!
R,@OneRepublic @Apple I spy a pair of M50s @USAudioTechnica Keep up the good work!
R,@OneRepublic @Apple I WANNA HUG THEM SO MUCH
R,@OneRepublic @Apple MY BABYYYSS
IR,@OneRepublic @Apple Pretty s
R,@OneRepublic @Apple So amazing
R,@OneRepublic @Apple So great to see that you guys are recording in the air! Hopefully batteries of future will come out soon! :)
R,@OneRepublic @Apple Thanks for sharing pics. Awesome guys! :)
R,"@OneRepublic @Apple that looks amazing, don't think anyone can say they recorded music on a plane haha"
R,"@OneRepublic @Apple The plane is amazing! You look so cool. Yes, we all need this battery. Write me for this list. :)"
R,@OneRepublic @Apple THEY LOOK THIS IS SO CUTE
R,@OneRepublic @Apple this is awesome! Can I join?
R,@OneRepublic @Apple THIS IS SO BEAUTIFUL
R,@OneRepublic @Apple wow that's amazing
R,@OneRepublic @Apple yeah guys
R,@OneRepublic @Apple You all are ready to go. #ColoradoLovesYou
IR,@Oneshine are u referring to?
R,@pambesteder @TeamCavuto @Apple well said
IR,@PERFEKTnCHANCE (Chance) is Boo #29
IR,@plmusic22
IR,@RAPPUBLICIST HAPPY MOTHERS DAY!
R,@remuuusss @apple fix this
IR,@riceuniversiity I know huh @Kouture85 Im bout to cry@Ahmier thanks Marco! *muah*
R,@SamJam Agreed--have to give props to @Apple for battery life on new iPhones. It's SO good. #TL_Chat
R,"@SaraEisen Apple been falling since @jimcramer said Own Apple, don't trade Apple!"
R,@sashametro @mayhembcn @apple happy to helpif u use kind words :). Using apple process is free and fast. http://t.co/qQGQokjaxE. DM with ?
R,@schreier @sequoia @Apple @jessepickard yes it surely is a smart game . Even peak is good
IR,@sextsatan @Applebees @Apple APPLEBEES FAVED OMG
